timestamp,ax,ay,az,gx,gy,gz,raw_pressure,lat,lng,gps_speed
0,4.83920734172507,-4.074920352157891,11.1521617667745,0.0,0.0,0.0,540,42.895,47.6202,0.0
100,0.5666856316139208,1.0591767391577886,10.16592743180325,0.0,0.0,0.0,485,42.894999795022315,47.62023005423302,0.1603563474387528
200,5.29244720116931,3.26719356918081,6.987047597433845,0.0,0.0,0.0,514,42.894999180257315,47.62026003301119,0.3207126948775056
300,4.802062427897067,2.1697548098224155,8.394786701187678,0.0,0.0,0.0,512,42.894998156209056,47.620289861069125,0.48106904231625836
400,6.377602275633466,4.173204902415065,11.863132383212532,0.0,0.0,0.0,514,42.89499672371716,47.6203194635198,0.6414253897550112
501,2.2780382964414563,3.992010865223627,10.413421831410592,0.0,0.0,0.0,521,42.89499488395616,47.62034876604264,0.801781737193764
601,3.874322314918879,6.766517887368906,9.420696456301677,0.0,0.0,0.0,536,42.89499263843447,47.62037769507006,0.9621380846325167
701,5.508883007988542,5.107442062346868,13.195795704728354,0.0,0.0,0.0,517,42.89498998899324,47.620406177972185,1.1224944320712695
801,4.962382858426203,10.531471455502128,13.130472762638643,0.0,0.0,0.0,521,42.89498693780477,47.62043414323919,1.2828507795100224
902,8.179533400474124,1.0721041926460106,9.197916031877872,0.0,0.0,0.0,514,42.89498348737075,47.62046152066083,1.443207126948775
1002,-0.6746607819323618,4.538641535685593,10.781963195928695,0.0,0.0,0.0,505,42.89497964052024,47.62048824150274,1.603563474387528
1102,10.710326280884173,0.4622375315309304,10.726794209518278,0.0,0.0,0.0,513,42.89497540040731,47.62051423867896,1.7639198218262806
1202,7.191997913813508,6.499440997195961,7.871584513834171,0.0,0.0,0.0,519,42.89497077050848,47.620539446920375,1.9242761692650334
1302,4.614031407803221,2.744472224463164,11.735967910668109,0.0,0.0,0.0,504,42.89496575461985,47.62056380293861,2.084632516703786
1403,1.9467021673088354,8.291974796003036,7.128247216409816,0.0,0.0,0.0,515,42.89496035685399,47.62058724558489,2.244988864142539
1503,3.6685156900026543,2.5724137759471963,5.991568246495255,0.0,0.0,0.0,493,42.894954581636604,47.62060971600357,2.4053452115812917
1603,6.946873158791179,3.0278301257410787,10.712824112190743,0.0,0.0,0.0,519,42.894948433702844,47.620631157779904,2.5657015590200447
1703,4.295175025814189,9.519700282757329,10.168125502419338,0.0,0.0,0.0,495,42.894941918093465,47.62065151708168,2.7260579064587973
